Code,Name
AB,Alberta
AK,Alaska
AL,Alabama
AR,Arkansas
AZ,Arizona
BC,British Columbia
CO,Colorado
CT,Connecticut
DE,Delaware
EB,East Bay
EMA,Eastern Massachusetts
ENY,Eastern New York
EPA,Eastern Pennsylvania
EWA,Eastern Washington
GA,Georgia
IA,Iowa
ID,Idaho
IL,Illinois
IN,Indiana
KS,Kansas
KY,Kentucky
LA,Louisiana
LAX,Los Angeles
MAR,Maritime
MB,Manitoba
MDC,Maryland DC
ME,Maine
MI,Michigan
MN,Minnesota
MO,Missouri
MS,Mississippi
MT,Montana
NC,North Carolina
ND,North Dakota
NE,Nebraska
NFL,Northern Florida
NH,New Hampshire
NL,Newfoundland Labrador
NLI,New York City Long Island
NM,New Mexico
NNJ,Northern New Jersey
NNY,Northern New York
NT,Northern Territories
NTX,North Texas
NV,Nevada
OH,Ohio
OK,Oklahoma
ON,Ontario
OR,Oregon
ORG,Orange
PAC,Pacific
PR,Puerto Rico
QC,Quebec
RI,Rhode Island
SB,Santa Barbara
SC,South Carolina
SCV,Santa Clara Valley
SD,South Dakota
SDG,San Diego
SF,San Francisco
SFL,Southern Florida
SJV,San Joaquin Valley
SK,Saskatchewan
SNJ,Southern New Jersey
STX,South Texas
SV,Sacramento Valley
TN,Tennessee
UT,Utah
VA,Virginia
VI,Virgin Islands
VT,Vermont
WCF,West Central Florida
WI,Wisconsin
WMA,Western Massachusetts
WNY,Western New York
WPA,Western Pennsylvania
WTX,West Texas
WV,West Virginia
WWA,Western Washington
WY,Wyoming
